formula,mpid,spacegroup.symbol,nature of band gap
CaSnS3,mp-866844,Pnma,1
CaSnS3,mp-866850,Cmcm,0
CaSnS3,mp-867022,P1,0
CaSnS3,mp-866565,P2_13,0
CaZrS3,mp-7781,Pnma,1
CdPS3,mp-5328,C2/m,0
CdPS3,mp-9330,R-3,0
CeBS3,mp-1189296,Pna2_1,0
CsGaS3,mp-562726,P2_1/c,0
CsPS3,mp-504838,Immm,0
CsSnS3,mp-561710,P-1,0
CuPS3,mp-1105187,P4_2/mnm,0
DyScS3,mp-1184176,Pnma,0
ErScS3,mp-1190244,Pna2_1,0
EuPS3,mp-20217,P2_1/c,0
FePS3,mp-5864,C2/m,0
GdScS3,mp-510490,Pnma,1
GePbS3,mp-624190,P2_1/c,0
GePdS3,mp-541785,C2/m,0
HS3N,mp-27669,P2/c,0
HS3N,mp-706654,Pbca,1
HS3N,mp-696216,Pnma,1
HfPbS3,mp-22147,Pnma,0
HfSnS3,mp-8725,Pnma,0
HgPS3,mp-27178,P-1,0
HoScS3,mp-1189393,Pna2_1,0
InGaS3,mp-19885,Cmc2_1,0
InSbS3,mp-21365,Pnma,0
KPS3,mp-8267,Immm,0
LaErS3,mp-558977,Pnma,1
LaGaS3,mp-4816,P2_1/c,1
LaLuS3,mp-1106374,Pnma,1
LaScS3,mp-1190131,Pnma,1
LaTmS3,mp-556841,Pnma,1
MgPS3,mp-675651,C2/m,0
MnPS3,mp-8613,C2/m,0
NaPS3,mp-1189520,P2_1/m,0
NdBS3,mp-1188683,Pna2_1,0
NdScS3,mp-1105614,Pnma,1
PPbS3,mp-20199,P2_1/c,0
PrBS3,mp-862754,Pna2_1,1
PrScS3,mp-1189962,Pnma,1
RbBS3,mp-9047,P2_1/c,0
RbPS3,mp-556953,Immm,0
SmBS3,mp-972448,Pna2_1,1
SmScS3,mp-1188840,Pnma,1
SnGeS3,mp-5045,P2_1/c,0
SnPS3,mp-4252,P2_1/c,0
SnPS3,mp-1080140,C2/m,0
SnPS3,mp-13923,Pc,0
SnPS3,mp-1079752,R-3,0
SnPbS3,mp-1188095,Pnma,0
SrHfS3,mp-1208643,Pnma,1
SrPS3,mp-9788,P2_1/c,1
SrSnS3,mp-1205419,Pnma,0
SrZrS3,mp-558760,Pnma,1
SrZrS3,mp-5193,Pnma,1
TaAgS3,mp-5821,Cmcm,0
TaAgS3,mp-561242,Cmc2_1,0
TaCuS3,mp-3102,Pnma,0
TaTlS3,mp-10795,Pnma,0
TbBS3,mp-867286,Pna2_1,0
TbScS3,mp-1188262,Pnma,0
ThCrS3,mp-1189441,Pnma,0
TiGeS3,mp-1105715,Pnma,0
TlBS3,mp-28809,P2_1/c,0
TlPS3,mp-8249,Immm,0
VPS3,mp-1078971,C2/m,0
YScS3,mp-7792,Pnma,0
YbCeS3,mp-1079021,Cmcm,0
YbCeS3,mp-684004,Pnma,0
ZnPS3,mp-3342,C2/m,0
ZnSnS3,mp-1093994,R3c,0
ZrPbS3,mp-20244,Pnma,1
ZrSnS3,mp-17324,Pnma,0
AgSe3I,mp-569052,Pmna,0
AlInSe3,mp-862787,P6_1,0
BaBiSe3,mp-27365,P2_12_12_1,0
BaPSe3,mp-11008,P2_1/c,0
BaZrSe3,mp-998350,P1,0
BaZrSe3,mp-998427,Pnma,1
CaPSe3,mp-11007,P2_1/c,0
CdPSe3,mp-1079559,R-3,0
CsAuSe3,mp-567913,C2/c,0
CsBSe3,mp-573358,P2_1/c,0
CsGaSe3,mp-510283,P2_1/c,0
CsSnSe3,mp-613162,P-1,0
CsTeSe3,mp-9462,P2_1/c,0
CuSe3Br,mp-28741,Pmna,0
CuSe3I,mp-29450,R-3m,0
EuPSe3,mp-20742,P2_1/c,0
HgPSe3,mp-7293,C2/c,0
InBiSe3,mp-1223842,R3m,0
KPSe3,mp-571452,P3_121,0
MgPSe3,mp-30943,R-3,0
NdLuSe3,mp-13327,Cmcm,0
PPbSe3,mp-20316,P2_1/c,0
PrLuSe3,mp-13326,Cmcm,0
RbBSe3,mp-10552,P2_1/c,0
RbPSe3,mp-571464,P3_121,0
SnPSe3,mp-673705,P2_1/c,0
SnPSe3,mp-570370,Pc,0
SnPSe3,mp-5706,P2_1/c,0
SrBiSe3,mp-28476,P2_12_12_1,1
SrPSe3,mp-7198,P2_1/c,1
SrZrSe3,mp-541570,Pnma,1
TaTlSe3,mp-12027,Pnma,0
ThCrSe3,mp-1188731,Pnma,0
TlBSe3,mp-29959,Cc,0
BaN3Cl,mp-569812,P2_1/m,0
BaReN3,mp-989637,C2/c,0
BaWN3,mp-989636,C2/m,0
BaWN3,mp-989622,P2_1/c,0
CaMoN3,mp-989635,C2/m,0
CaReN3,mp-989606,C2/c,0
CaTcN3,mp-989634,C2/c,0
CaTcN3,mp-989638,C2/m,0
CaWN3,mp-989616,C2/m,0
LaCoN3,mp-989643,C2/m,0
LaCrN3,mp-989612,C2/c,0
LaMoN3,mp-989631,C2/c,0
LaMoN3,mp-989552,R3c,0
LaMoN3,mp-989534,P2_1/m,1
LaMoN3,mp-989603,Ama2,0
LaOsN3,mp-989632,P2_1/c,1
LaReN3,mp-989614,P2_1/c,0
LaTaN3,mp-989620,P2_1/c,0
LaVN3,mp-989403,P1,0
LaWN3,mp-989601,R3m,0
LaWN3,mp-989633,C2/c,0
LaWN3,mp-989524,R3c,0
LaWN3,mp-989646,P2_1/m,1
SiPN3,mp-1219220,P2_1,0
SiPN3,mp-36053,Cc,0
SrReN3,mp-989623,C2/c,0
SrTcN3,mp-989530,C2/m,0
SrTcN3,mp-989627,C2/c,0
SrWN3,mp-989513,C2/m,0
SrWN3,mp-989625,P1,0
ThTaN3,mp-10732,Pm-3m,1
TiPN3,mp-989613,Amm2,0
TiPN3,mp-989624,C2/c,0
YMoN3,mp-989604,C2/c,0
YWN3,mp-989645,P2_1/m,1
YWN3,mp-989576,R3c,0
YWN3,mp-989407,Pmc2_1,0
YWN3,mp-989609,Cmcm,0
YWN3,mp-989617,Ama2,0
YWN3,mp-989615,C2/c,0
AgTe3I,mp-570431,Pmna,0
AlSiTe3,mp-31220,P-31m,0
BaSbTe3,mp-18291,P2_12_12_1,0
BiSbTe3,mp-1227340,R3m,1
CsAlTe3,mp-1189272,P2_1/c,0
CsSiTe3,mp-570957,Cc,1
DySbTe3,mp-1225550,R3m,0
HoBiTe3,mp-1223843,R3m,0
InSiTe3,mp-567931,P-31m,0
KTaTe3,mp-568318,P2_1/c,0
LuBiTe3,mp-1222293,R3m,0
SmBiTe3,mp-1219075,R3m,1
TbBiTe3,mp-1217576,R3m,1
TmBiTe3,mp-1216578,R3m,0
YBiTe3,mp-1215930,R3m,1
AlSiP3,mp-5168,Pnma,0
