formula,mpid,spacegroup.symbol,nature of band gap
LaAsO3,mp-1079050,P2_1/m,0
LaAlO3,mp-1080060,Imma,0
LaAlO3,mp-1080080,I4/mcm,0
LaIO3,mp-1080184,C2/m,1
LaScO3,mp-1096800,Pm-3m,1
LaGaO3,mp-1097026,Pm-3m,0
LuNiO3,mp-1105866,P2_1/c,0
MnGeO3,mp-1106201,C2/c,0
MnVO3,mp-1106224,Pnma,0
MnBiO3,mp-1106239,Cc,0
NaCO3,mp-1120755,R-3c,0
LaInO3,mp-11623,Pnma,1
MnGaO3,mp-1176435,P6_3/mmc,0
LuBiO3,mp-1176501,R3c,0
MnCO3,mp-1180142,C2/c,0
NClO3,mp-1180300,Cm,0
LaGaO3,mp-1180739,Pnma,0
LaCoO3,mp-1185232,Pnma,0
LuAlO3,mp-1185485,Pm-3m,0
LuGaO3,mp-1185488,Pm-3m,0
LuNpO3,mp-1185498,Pm-3m,0
NaCO3,mp-1188793,P2_1/c,0
MnInO3,mp-1193141,P6_3cm,0
MnInO3,mp-1193780,P-3c1,0
LuRhO3,mp-1205366,Pnma,1
KPaO3,mp-1206970,Pm-3m,0
MoHO3,mp-1221516,C2,0
LuBO3,mp-1222450,Ama2,0
KPO3,mp-1223439,C2/m,0
MgSeO3,mp-12271,Pnma,0
LaTmO3,mp-13374,Pnma,0
KPO3,mp-13981,Pnma,1
KSbO3,mp-14607,Pn-3,1
KSbO3,mp-16293,Fd-3m,0
NaAsO3,mp-17868,P-1,0
MnCO3,mp-18814,R-3c,1
KVO3,mp-18815,Pbcm,0
LaCrO3,mp-18841,Pm-3m,0
LaCrO3,mp-19281,Pnma,1
LiVO3,mp-19373,C2/c,0
LiVO3,mp-19440,C2/c,0
MnSnO3,mp-20569,R-3,0
MnGeO3,mp-20798,R-3,0
LaLuO3,mp-22220,Pnma,0
MnSeO3,mp-22224,Pnma,0
LuFeO3,mp-22588,Pnma,1
LaFeO3,mp-22590,Pnma,0
LiIO3,mp-22955,P6_3,0
LiIO3,mp-22994,Pna2_1,0
NaBiO3,mp-23054,R-3,0
NaClO3,mp-23330,P2_13,0
